,number_of_reviews,price,label
0,118,60,1
1,6,17,1
2,143,90,1
3,25,26,1
4,197,42,1
5,6,180,1
6,23,70,1
7,0,120,1
8,48,90,1
9,279,45,1
10,223,49,1
11,56,129,1
12,60,70,1
13,61,98,1
14,223,160,1
15,96,65,1
16,18,90,1
17,5,90,1
18,163,197,1
19,28,70,1
20,30,90,1
21,1,60,1
22,69,130,1
23,240,100,1
24,28,44,1
25,144,62,1
26,1,55,1
27,33,40,1
28,21,25,1
29,307,52,1
30,161,39,1
31,102,80,1
32,6,80,1
33,50,50,1
34,70,43,1
35,1,40,1
36,25,36,1
37,109,119,1
38,65,90,1
39,11,42,1
40,101,56,1
41,151,50,1
42,38,48,1
43,35,160,1
44,0,70,1
45,5,88,1
46,156,55,1
47,0,88,1
48,1,90,1
49,11,55,1
50,81,200,1
51,160,80,1
52,3,49,1
53,72,55,1
54,32,130,1
55,76,90,1
56,7,120,1
57,96,37,1
58,89,52,1
59,45,44,1
60,34,102,1
61,70,29,1
62,220,84,1
63,37,80,1
64,200,69,1
65,59,185,1
66,69,49,1
67,39,155,1
68,238,66,1
69,71,70,1
70,197,53,1
71,2,70,1
72,265,92,1
73,47,75,1
74,44,80,1
75,167,48,1
76,57,114,1
77,44,60,1
78,112,506,1
79,154,50,1
80,91,82,1
81,59,80,1
82,68,60,1
83,114,70,1
84,53,130,1
85,3,69,1
86,3,75,1
87,84,68,1
88,5,125,1
89,26,70,1
90,443,89,1
91,16,59,1
92,148,96,1
93,191,75,1
94,226,55,1
95,55,55,1
96,107,70,1
97,39,31,1
98,47,40,1
99,10,81,1
100,127,52,1
101,4,100,1
102,95,36,1
103,45,88,1
104,252,29,1
105,3,100,1
106,43,161,1
107,5,65,1
108,103,70,1
109,71,29,1
110,12,80,1
111,374,49,1
112,6,49,1
113,28,59,1
114,13,30,1
115,15,23,1
116,5,40,1
117,48,35,1
118,84,70,1
119,33,80,1
120,1,42,1
121,31,96,1
122,56,75,1
123,41,96,1
124,81,76,1
125,8,46,1
126,18,296,1
127,17,244,1
128,11,20,1
129,1,50,1
130,39,59,1
131,71,75,1
132,118,170,1
133,18,39,1
134,385,39,1
135,389,64,1
136,15,35,1
137,350,100,1
138,36,375,1
139,14,29,1
140,51,32,1
141,2,45,1
142,7,120,1
143,224,25,1
144,63,59,1
145,4,86,1
146,14,45,1
147,63,100,1
148,79,80,1
149,3,50,1
150,40,49,1
151,25,55,1
152,212,79,1
153,253,75,1
154,398,49,1
155,341,38,1
156,33,65,1
157,132,75,1
158,90,75,1
159,101,38,1
160,6,89,1
161,301,74,1
162,92,50,1
163,27,120,1
164,9,38,1
165,10,25,1
166,0,89,1
167,189,88,1
168,110,125,1
169,129,49,1
170,2,50,1
171,0,100,1
172,5,35,1
173,22,70,1
174,7,195,1
175,0,150,1
176,31,200,1
177,245,165,1
178,0,55,1
179,161,35,1
180,7,51,1
181,189,35,1
182,195,45,1
183,16,60,1
184,29,45,1
185,413,75,1
186,195,69,1
187,6,45,1
188,2,50,1
189,29,110,1
190,19,95,1
191,41,75,1
192,200,30,1
193,51,65,1
194,35,65,1
195,106,46,1
196,7,65,1
197,130,28,1
198,18,30,1
199,62,49,1
200,7,55,1
201,36,98,1
202,30,32,1
203,15,55,1
204,42,39,1
205,39,82,1
206,277,46,1
207,127,60,1
208,3,60,1
209,5,43,1
210,7,85,1
211,373,60,1
212,80,58,1
213,101,55,1
214,55,30,1
215,146,31,1
216,16,35,1
217,105,45,1
218,42,100,1
219,0,95,1
220,1,95,1
221,73,63,1
222,24,175,1
223,179,130,1
224,150,120,1
225,69,64,1
226,163,55,1
227,62,29,1
228,104,150,1
229,32,76,1
230,67,79,1
231,3,23,1
232,6,19,1
233,119,49,1
234,12,45,1
235,5,45,1
236,148,91,1
237,114,69,1
238,44,70,1
239,3,55,1
240,6,45,1
241,3,50,1
242,8,55,1
243,14,93,1
244,94,175,1
245,14,95,1
246,28,52,1
247,18,59,1
248,4,58,1
249,1,72,1
250,7,95,1
251,26,40,1
252,30,55,1
253,51,79,1
254,2,56,1
255,111,32,1
256,40,32,1
257,131,32,1
258,30,28,1
259,63,49,1
260,6,70,1
261,95,80,1
262,99,75,1
263,112,55,1
264,79,65,1
265,142,96,1
266,35,51,1
267,74,33,1
268,69,59,1
269,113,99,1
270,201,49,1
271,66,148,1
272,37,55,1
273,9,69,1
274,0,69,1
275,0,60,1
276,72,55,1
277,129,60,1
278,0,29,1
279,3,45,1
280,426,60,1
281,1,75,1
282,4,60,1
283,1,19,1
284,4,29,1
285,1,29,1
286,10,9,1
287,5,9,1
288,58,9,1
289,25,9,1
290,73,9,1
291,11,55,1
292,5,85,1
293,30,48,1
294,40,55,1
295,89,129,1
296,42,69,1
