,price,minimum_nights,label
0,60,4,1
1,17,2,1
2,90,62,1
3,26,5,1
4,42,2,1
5,180,6,1
6,70,90,1
7,120,30,1
8,90,60,1
9,45,3,1
10,49,5,1
11,129,3,1
12,70,60,1
13,98,3,1
14,160,3,1
15,65,60,1
16,90,3,1
17,90,4,1
18,197,3,1
19,70,90,1
20,90,5,1
21,60,2,1
22,130,60,1
23,100,4,1
24,44,1,1
25,62,3,1
26,55,60,1
27,40,1,1
28,25,5,1
29,52,2,1
30,39,1,1
31,80,84,1
32,80,10,1
33,50,3,1
34,43,2,1
35,40,1,1
36,36,1,1
37,119,4,1
38,90,5,1
39,42,3,1
40,56,2,1
41,50,4,1
42,48,60,1
43,160,3,1
44,70,4,1
45,88,5,1
46,55,4,1
47,88,2,1
48,90,2,1
49,55,60,1
50,200,3,1
51,80,3,1
52,49,2,1
53,55,90,1
54,130,5,1
55,90,5,1
56,120,2,1
57,37,6,1
58,52,2,1
59,44,3,1
60,102,2,1
61,29,2,1
62,84,3,1
63,80,3,1
64,69,3,1
65,185,4,1
66,49,2,1
67,155,4,1
68,66,3,1
69,70,3,1
70,53,2,1
71,70,3,1
72,92,1,1
73,75,3,1
74,80,2,1
75,48,2,1
76,114,10,1
77,60,2,1
78,506,3,1
79,50,1,1
80,82,60,1
81,80,3,1
82,60,3,1
83,70,4,1
84,130,3,1
85,69,2,1
86,75,14,1
87,68,60,1
88,125,7,1
89,70,2,1
90,89,2,1
91,59,2,1
92,96,1,1
93,75,2,1
94,55,2,1
95,55,30,1
96,70,3,1
97,31,183,1
98,40,2,1
99,81,1,1
100,52,3,1
101,100,180,1
102,36,90,1
103,88,5,1
104,29,1,1
105,100,10,1
106,161,2,1
107,65,2,1
108,70,2,1
109,29,150,1
110,80,5,1
111,49,3,1
112,49,2,1
113,59,1,1
114,30,1,1
115,23,5,1
116,40,5,1
117,35,7,1
118,70,4,1
119,80,2,1
120,42,1,1
121,96,60,1
122,75,60,1
123,96,60,1
124,76,60,1
125,46,60,1
126,296,1,1
127,244,1,1
128,20,1,1
129,50,3,1
130,59,2,1
